Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M1;1;YS;1,23;0,13;42,01;8,46;2,98;4,85;2;1;0,02;0,03;0,21;0,01
M2;2;CE;0,93;0,05;41,59;4,05;0,52;6,05;1,46;0,36;0,02;0,02;0,22;0,01
M3;3;CE;1,1;0,07;44,8;5,87;0,4;14,41;1,35;0,55;0,02;0,02;0,22;0,01
M4;4;CE;1,14;0,08;43,96;5,12;0,96;8,09;1,25;0,57;0,02;0,02;0,22;0
M5;5;CE;1,11;0,09;43,98;4,85;0,4;9,99;1,3;0,64;0,02;0,02;0,15;0,01
M6;6;CE;1,14;0,08;43,33;7,38;0,76;11,63;1,42;0,63;0,02;0,02;0,12;0
M7;7;CE;1,02;0,11;37,09;10,34;2,08;13,93;1,48;0,73;0,02;0,03;0,12;0,01
M8;8;YS;0,83;0,09;42,71;6,89;1,72;8,7;1,66;0,61;0,02;0,02;0,13;0,01
M9;9;CE;1,31;0,11;43,48;5,97;1,58;7,66;1,72;0,76;0,02;0,03;0,15;0
M10;10;YS;0,73;0,08;42,46;14,76;0,84;11,43;1,05;0,51;0,02;0,02;0,12;0
M11;11;YS;0,68;0,11;42,42;2,77;0,47;12,51;1,39;0,57;0,01;0,02;0,17;0
M12;12;CE;1,37;0,11;44,8;4,71;1,7;7,14;1,62;0,64;0,01;0,03;0,11;0
M13;13;YS;0,73;0,12;42,54;2,3;0,48;15,34;2,06;0,69;0,02;0,02;0,17;0,01
M14;14;CE;1,26;0,09;38,61;10,82;0,29;10,08;1,88;0,62;0,02;0,02;0,14;0,01
M15;15;YS;1,31;0,13;40,71;10,96;2,08;8,35;1,61;0,9;0,02;0,02;0,13;0,01
M16;16;YS;1,52;0,11;35,66;16,75;3,85;8,56;1,59;0,77;0,02;0,03;0,14;0,01
M17;17;YS;1,69;0,17;32,27;29,34;5;7,84;1,36;1,12;0,01;0,03;0,14;0,01
M18;18;CE;1,64;0,03;15,58;50,08;12,51;6,61;0,72;0,3;0,01;0,02;0,13;0,01
M19;19;CE;1,33;0,04;9,01;29,37;13,02;7,29;0,72;0,27;0,01;0,02;0,18;0,01
M20;20;PG;0,44;0,1;33,9;7,88;0,84;7,44;1,55;0,81;0,01;0,01;0,15;0,01
M21;21;YS;1;0,1;44,1;40,42;10,46;8,43;0,42;0,69;0,01;0,03;0,13;0
M22;22;PG;0,91;0,09;34,96;8,68;0,56;9,5;1,55;0,62;0,01;0,03;0,17;0,01
M23;23;YN;1,37;0,04;36,02;13,42;3,8;7,07;1,76;0,27;0,01;0,02;0,16;0,01
M24;24;PG;0,9;0,09;30,19;10,84;4,26;10,08;1,63;0,6;0,01;0,04;0,14;0
M25;25;YN;1,14;0,05;32,53;29,15;0,29;11,66;3,94;0,27;0,01;0,02;0,15;0,01
M26;26;YN;1,07;0,06;35,39;18,39;4,34;5,8;1,81;0,34;0,01;0,02;0,12;0
M27;27;YS;0,99;0,03;13,94;45,61;10,42;4,13;0,6;0,25;0,01;0,02;0,12;0
M28;28;YN;1,58;0,17;29,89;30,01;4,79;6,69;1,21;0,81;0,01;0,04;0,12;0,01
M29;29;YS;0,84;0,03;15,03;45,66;8,53;4,52;0,7;0,24;0,01;0,01;0,11;0,01
M30;30;YN;1,17;0,33;30,12;14,88;3,23;10;1,03;1,38;0,01;0,03;0,12;0,01
M31;31;YN;1,26;0,28;29,44;14,88;3,29;10,97;0,91;1,12;0,01;0,03;0,12;0
M32;32;CE;0,98;0,12;40,7;4,4;1,13;10,21;1,57;0,79;0,02;0,03;0,06;
M33;33;PG;0,63;0,06;46,73;2,74;0,29;9,09;1,35;0,51;0,02;0,02;0,04;
M34;34;YS;0,94;0,09;42,99;4,79;1,82;8,35;1,27;0,54;0,01;0,02;0,05;
M35;35;CE;0,9;0,15;43,25;3,39;0,64;10,55;1,4;0,92;0,02;0,03;0,04;
M36;36;PG;0,47;0,06;41,92;2,86;0,2;11,55;1,63;0,47;0,01;0,02;0,07;
M37;37;PG;0,51;0,09;41,28;3,81;0,21;13,34;1,24;0,7;0,01;0,02;0,06;
M38;38;YS;0,59;0,02;41,4;3,68;1,31;11,08;1,89;0,16;0,01;0,02;0,03;
M39;39;CE;0,85;0,14;41,44;2,15;0,41;8,13;0,84;0,79;0,02;0,03;0,03;
M40;40;PG;0,7;0,09;45,66;2,67;0,24;11,23;1,29;0,58;0,01;0,01;0,05;
M41;41;YS;0,55;0,02;43,06;2,39;0,4;12,4;2,01;0,11;0,01;0,02;0,06;
M42;42;CE;0,73;0,13;36,09;4,63;1,45;16,79;1,3;0,68;0,02;0,03;0,03;
M43;43;PG;0,8;0,09;42,5;5;0,54;9,99;1,32;0,64;0,01;0,02;0,07;
M44;44;CE;0,99;0,08;47;1,47;0,24;8,08;1,44;0,46;0,02;0,04;0,09;
M45;45;CE;1,08;0,1;47,79;1,49;0,2;8,59;1,38;0,56;0,02;0,04;0,04;
M46;46;YS;1,52;0,19;47,29;0,91;0,4;8,44;1,5;1,15;0,02;0,03;0,08;
M47;47;CE;1,06;0,07;47,89;1,87;0,4;8,46;1,48;0,4;0,02;0,04;0,09;
M48;48;YS;1,64;0,05;18,38;22,44;13,92;2,75;0,72;0,36;0,01;0,02;0,09;
M49;49;YS;1,5;0,06;23,95;16,64;10,3;3,65;0,83;0,49;0,01;0,03;0,04;
M50;50;CE;0,96;0,04;47,58;1,81;0,13;8,44;1,51;0,41;0,02;0,04;0,09;
M51;51;CE;1,05;0,09;47,67;6,39;0,18;8,36;1,46;0,48;0,02;0,04;0,04;
M52;52;YS;1,47;0,2;36,89;4,39;2,39;8,81;1,75;0,81;0,02;0,04;0,07;
M53;53;YS;1,48;0,25;39;1,94;2,04;9,86;1,39;1,38;0,02;0,03;0,11;
M54;54;PG;0,6;0,07;46,2;1,64;0,33;9,11;1,39;0,49;0,01;0,02;0,03;
M55;55;PG;0,63;0,07;45,4;11,87;0,28;4,55;1,35;0,47;0,02;0,02;0,03;
M56;56;YS;1,73;0,07;30,84;12,79;6,97;4,68;1,17;0,51;0,01;0,03;0,05;
M57;57;YS;1,52;0,06;28,61;1,59;8,69;8,61;1,45;0,42;0,01;0,03;0,03;
